Change Component Footprint: Designator=J1 Old Footprint=HIRO-ZX62D-B-5PA8_V New Footprint=TECO-1981568-5_V
Change Component Comment : Designator=J1 Old Comment=ZX62D-B-5PA8 New Comment=1981568-1
Change component parameters: Designator = "J1"; Footprint = "TECO-1981568-5_V"; UniqueID = "\YLSDFHPD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Body Orientation"; Value = "RightAngle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "CopperAlloy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "GoldOverNickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Max)"; Value = "1/ContactA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.mouser.com/ds/2/418/NG_CD_1981568_E2-621296.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. E2, 08/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "RCP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Thermoplastic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.te.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "5POS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Ports"; Value = "1Port"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminals"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Max Deg. C"; Value = "85C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Min Deg. C"; Value = "-55C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "-55Cto85C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch (mm)"; Value = "0.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Depth (mm)"; Value = "5.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Height (mm)"; Value = "3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Length (mm)"; Value = "8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Method"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "MicroUSB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating Max"; Value = "30VAC"; VariantName = "[No Variations]"
