Change Component Footprint: Designator=J1 Old Footprint=TECO-1981568-5_V New Footprint=MOLX-47589-0001_V
Change Component Comment : Designator=J1 Old Comment=1981568-1 New Comment=47589-0001
Change component parameters: Designator = "J1"; Footprint = "MOLX-47589-0001_V"; UniqueID = "\OHIWHITT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = ""; Value = "0475890001"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Brand"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "MicroUSBTypeABreceptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "CopperAlloy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1.8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.molex.com/webdocs/datasheets/pdf/en-us/0475890001_IO_CONNECTORS.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "12/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Female"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.molex.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Angle"; Value = "Right"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "5Contact"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Ports"; Value = "1Port"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-20Cto+85C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "Micro USB Connector, Pitch 0.65 mm, 5 Positions, Body 7.5 x 5.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "47589-0001"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package URL"; Value = "http://www.molex.com/pdm_docs/sd/475890001_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "MicroUSBTypeABConnectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "USBConnectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "47589"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard"; Value = "USB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "30VAC"; VariantName = "[No Variations]"
